title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url
Apartamento en alquiler en Ur. La Calera De La Merced,"Ur. La Calera De La Merced, Surquillo, Lima, Lima ","S/.1,800",2 dormitorios,1 baño,70 m²,,S/.280,Apartamento,Alquiler,"Hace 5 días, 16 horas - Publicado por Agentes Asociados",https://www.properati.com.pe/detalle/14032-32-3f7e-c5d6ab5e3884-f2382ad6-9e80-4c36
Apartamento en alquiler en Ur. Cerros De Camacho,"Ur. Cerros De Camacho, Santiago de Surco, Lima, Lima ","USD1,000",2 dormitorios,1 baño,109 m²,2001,S/.380,Apartamento,Alquiler,"Hace 5 días, 19 horas - Publicado por Carola Aguilar",https://www.properati.com.pe/detalle/14032-32-1d8b-588de38f4728-d3e07f96-805f-45e4
Apartamento en alquiler en Ur. Ampliacion San Isidro,"Ur. Ampliacion San Isidro, San Isidro, Lima, Lima ","USD1,800",3 dormitorios,2 baños,180 m²,2000,S/.748,Apartamento,Alquiler,28 mar. 2023 - Publicado por Inmobiliaria Casella,https://www.properati.com.pe/detalle/14032-32-96dc-daaf191a488e-ce6ab3db-92f6-4511
Apartamento en alquiler en Hu. Feria Internacional Del Pacifico,"Hu. Feria Internacional Del Pacifico, San Miguel, Lima, Lima ","S/.1,800",3 dormitorios,2 baños,85 m²,2010,S/.250,Apartamento,Alquiler,"Hace 5 días, 22 horas - Publicado por Encontré tu Hogar",https://www.properati.com.pe/detalle/14032-32-da72-5193312141c5-dc344580-be17-120d
Apartamento en alquiler en Ur. La Calera De La Merced,"Ur. La Calera De La Merced, Surquillo, Lima, Lima ","S/.1,600",1 dormitorio,1 baño,65 m²,,S/.280,Apartamento,Alquiler,"Hace 5 días, 16 horas - Publicado por Agentes Asociados",https://www.properati.com.pe/detalle/14032-32-a8d6-7b429a332f52-de4dea4e-a638-44f5
Apartamento en alquiler en Ur. Miramar,"Ur. Miramar, San Miguel, Lima, Lima ","S/.1,500",3 dormitorios,1 baño,60 m²,2005,S/.100,Apartamento,Alquiler,"Hace 6 días, 17 horas - Publicado por RE/MAX PERÚ",https://www.properati.com.pe/detalle/14032-32-3a06-d9bf5eea00b0-e9d37d26-8118-4ac7
Apartamento en alquiler en Ur. Pedregal De Higuereta(San Atanacio De Pedregal),"Ur. Pedregal De Higuereta(San Atanacio De Pedregal), Surquillo, Lima, Lima ","S/.2,300",2 dormitorios,2 baños,70 m²,2023,S/.170,Apartamento,Alquiler,"Hace 6 días, 2 horas - Publicado por Gustavo Jhonatan Santillan Chaupis",https://www.properati.com.pe/detalle/14032-32-b1e6-e1507a79f0ab-cd6e419d-8758-4fe3
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD2,000",3 dormitorios,2 baños,175 m²,2004,S/.840,Apartamento,Alquiler,7 mar. 2023 - Publicado por Inmobiliaria Casella,https://www.properati.com.pe/detalle/14032-32-2bc6-fc3f3e5d3608-c891cf7e-be22-46fd
Apartamento en alquiler en Ur. Libertad,"Ur. Libertad, San Miguel, Lima, Lima ","S/.1,800",2 dormitorios,2 baños,59 m²,2019,S/.180,Apartamento,Alquiler,"Hace 5 días, 1 hora - Publicado por SUCASA GRUPO INMOBILIARIO",https://www.properati.com.pe/detalle/14032-32-538d-be69a22ed869-c503ce01-bf78-487c
Apartamento en alquiler en Ur. San Idelfonso Del Vivero,"Ur. San Idelfonso Del Vivero, Santiago de Surco, Lima, Lima ","USD1,100",3 dormitorios,2 baños,118 m²,2009,S/.450,Apartamento,Alquiler,3 mar. 2023 - Publicado por Inmobiliaria Casella,https://www.properati.com.pe/detalle/14032-32-553e-817f41e9ed86-a212aceb-bc48-435c
Apartamento en alquiler en Ur. San Eugenio,"Ur. San Eugenio, Lince, Lima, Lima ","S/.2,100",1 dormitorio,1 baño,53 m²,2023,,Apartamento,Alquiler,"Hace 5 días, 19 horas - Publicado por RE/MAX POWER EXPO",https://www.properati.com.pe/detalle/14032-32-f610-be4870f99d59-cc626831-9512-459d
Apartamento en alquiler en Re. Monterrico Ampliacion,"Re. Monterrico Ampliacion, La Molina, Lima, Lima ","S/.2,900",3 dormitorios,2 baños,118 m²,2017,,Apartamento,Alquiler,"Hace 5 días, 4 horas - Publicado por Remax Integrity",https://www.properati.com.pe/detalle/14032-32-1818-1b0c64f286f1-b61c3751-8350-471d
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ","USD1,050",2 dormitorios,2 baños,90 m²,2016,S/.405,Apartamento,Alquiler,"Hace 5 días, 3 horas - Publicado por Corretaje Pelusa",https://www.properati.com.pe/detalle/14032-32-ff1b-d814775e8d4f-9d8db6ae-9df8-4800
Apartamento en alquiler en San Borja,"San Borja, Lima, Lima ","S/.1,800",1 dormitorio,1 baño,40 m²,2000,S/.150,Apartamento,Alquiler,17 ene. 2023 - Publicado por Inmobiliaria Casella,https://www.properati.com.pe/detalle/14032-32-8c44-90d6afce9b0c-95eba45f-8961-4849
Apartamento en alquiler en Ur. Maranga Etapa Iv,"Ur. Maranga Etapa Iv, San Miguel, Lima, Lima ","S/.1,600",2 dormitorios,1 baño,90 m²,2020,S/.100,Apartamento,Alquiler,"Hace 6 días, 14 horas - Publicado por Silvia Lara - REALTY",https://www.properati.com.pe/detalle/14032-32-fec7-9bcda504b860-944b4897-bcae-5003
Apartamento en alquiler en Co. Vipol El Alamo,"Co. Vipol El Alamo, Comas, Lima, Lima ","S/.1,000",3 dormitorios,1 baño,61 m²,2022,,Apartamento,Alquiler,13 mar. 2023 - Publicado por Remax Integrity,https://www.properati.com.pe/detalle/14032-32-5352-f26a72186595-99024ab6-8b08-4ad7
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ","USD1,000",2 dormitorios,2 baños,78 m²,2019,S/.420,Apartamento,Alquiler,"Hace 6 días, 4 horas - Publicado por Roxana Elvira Lazarte Alatrista",https://www.properati.com.pe/detalle/14032-32-d555-6e98f769c56c-906a65f1-937c-4562
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, San Borja, Lima, Lima ","USD1,000",3 dormitorios,2 baños,165 m²,2008,S/.500,Apartamento,Alquiler,"Hace 6 días, 17 horas - Publicado por Inmobiliaria Casella",https://www.properati.com.pe/detalle/14032-32-422a-f6a32ed23ada-8bc88728-a919-4943
Apartamento en alquiler en Ur. San Borja,"Ur. San Borja, San Borja, Lima, Lima ",USD950,2 dormitorios,3 baños,92 m²,2021,S/.328,Apartamento,Alquiler,"Hace 5 días, 20 horas - Publicado por GRUPO JCTP INMOBILIARIO SAC",https://www.properati.com.pe/detalle/14032-32-6e96-6b8cc4981401-90c7611a-974f-4435
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",USD549,1 dormitorio,1 baño,43 m²,2020,,Apartamento,Alquiler,"Hace 5 días, 6 horas - Publicado por RE/MAX PERÚ",https://www.properati.com.pe/detalle/14032-32-77e6-f39562342426-91af10e0-9743-4436
Apartamento en alquiler en Hu. Feria Internacional Del Pacifico,"Hu. Feria Internacional Del Pacifico, San Miguel, Lima, Lima ","S/.2,000",3 dormitorios,3 baños,78 m²,2013,S/.200,Apartamento,Alquiler,"Hace 5 días, 2 horas - Publicado por Matayoshi Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-db6f-4e03c28e714d-8a5ba3f1-9eea-4c23
Apartamento en alquiler en Ur. Monterrico Norte,"Ur. Monterrico Norte, San Borja, Lima, Lima ","USD210,000",3 dormitorios,3 baños,122 m²,2008,S/.300,Apartamento,Alquiler,"Hace 4 días, 20 horas - Publicado por Luis Joya Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-db4e-a1cc8d5c0a18-7d6939c0-a97d-120d
Apartamento en alquiler en Ur. Orrantia Del Mar,"Ur. Orrantia Del Mar, San Isidro, Lima, Lima ",USD950,3 dormitorios,2 baños,100 m²,2006,S/.400,Apartamento,Alquiler,26 ene. 2023 - Publicado por Inmobiliaria Casella,https://www.properati.com.pe/detalle/14032-32-5e28-996bb85253b2-886857fc-8eac-4d5c
Apartamento en alquiler en Monterrico Norte,"Monterrico Norte, San Borja, Lima, Lima ","S/.1,400",2 dormitorios,1 baño,70 m²,,,Apartamento,Alquiler,"Hace 5 días, 21 horas - Publicado por Ikasa Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-352b-41a424385896-7cc597fe-9eba-4ea7
Apartamento en alquiler en Ur. Orbea,"Ur. Orbea, Magdalena del Mar, Lima, Lima ",S/.240,2 dormitorios,2 baños,66 m²,2022,,Apartamento,Alquiler,"Hace 4 días, 17 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-aee6-fbf15e94e774-6a45cd40-9b35-47b7
Apartamento en alquiler en Ur. Capitan De Navio Luis German Astete,"Ur. Capitan De Navio Luis German Astete, San Miguel, Lima, Lima ","S/.2,200",3 dormitorios,2 baños,110 m²,2008,S/.200,Apartamento,Alquiler,"Hace 6 días, 3 horas - Publicado por Top House Perú Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-4617-a7ccaed7dc21-671669b5-9f87-44bc
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",USD700,1 dormitorio,1 baño,72 m²,2007,S/.260,Apartamento,Alquiler,"Hace 4 días, 7 horas - Publicado por joresco real estate",https://www.properati.com.pe/detalle/14032-32-dbb7-efca0fbaf387-793897b0-86fc-120d
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",USD750,3 dormitorios,2 baños,80 m²,2012,S/.250,Apartamento,Alquiler,"Hace 6 días, 20 horas - Publicado por Corretajes Inmobiliarios Matessa SAC",https://www.properati.com.pe/detalle/14032-32-4746-1a48b3346b12-78f63cd0-a7fe-4604
Apartamento en alquiler en Santiago de Surco,"Santiago de Surco, Lima, Lima ","S/.1,300",1 dormitorio,1 baño,35 m²,2003,S/.1,Apartamento,Alquiler,20 feb. 2023 - Publicado por Inmobiliaria Casella,https://www.properati.com.pe/detalle/14032-32-7a6-e65427b53c33-63909916-95c5-492d
Apartamento en alquiler en Los Olivos,"Los Olivos, Lima, Lima ","S/.1,100",3 dormitorios,2 baños,80 m²,,,Apartamento,Alquiler,"Hace 5 días, 20 horas - Publicado por RealWasi Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-da81-f13c134ffcc3-5dbc0760-91a3-120d
Apartamento en alquiler en Ur. Barboncito,"Ur. Barboncito, Miraflores, Lima, Lima ",USD870,2 dormitorios,2 baños,81 m²,2018,S/.450,Apartamento,Alquiler,"Hace 6 días, 4 horas - Publicado por Lien Hub Inmobiliario",https://www.properati.com.pe/detalle/14032-32-2731-a9874421399a-5f8458d8-92a2-4eaa
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ","USD1,150",3 dormitorios,4 baños,135 m²,2014,S/.520,Apartamento,Alquiler,25 feb. 2023 - Publicado por Lady Montes de Oca,https://www.properati.com.pe/detalle/14032-32-205b-cd0ee430d35d-3ba16fcb-b37a-458a
Apartamento en alquiler en Jesús María,"Jesús María, Lima, Lima ",USD665,2 dormitorios,2 baños,80 m²,,,Apartamento,Alquiler,"Hace 5 días, 17 horas - Publicado por REMAX FUTURA",https://www.properati.com.pe/detalle/14032-32-6095-377f70ab7331-3a8eb782-8288-4203
Apartamento en alquiler en Ur. Santa Beatriz,"Ur. Santa Beatriz, Jesús María, Lima, Lima ","S/.1,100",1 dormitorio,1 baño,40 m²,,,Apartamento,Alquiler,"Hace 6 días, 1 hora - Publicado por Ikasa Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-241c-f37fde555b4a-35b2a613-a935-413e
Apartamento en alquiler en Ur. San Eugenio,"Ur. San Eugenio, Lince, Lima, Lima ","S/.1,100",1 dormitorio,1 baño,40 m²,,,Apartamento,Alquiler,"Hace 6 días, 1 hora - Publicado por Ikasa Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-c8f-9fbe5ace53cf-37f48689-89a1-406e
Apartamento en alquiler en Lince,"Lince, Lima, Lima ",USD700,1 dormitorio,1 baño,50 m²,,S/.200,Apartamento,Alquiler,"Hace 5 días, 19 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-f9a1-59304cbc4abd-2ea29ec4-ae54-4bf1
Apartamento en alquiler en Ur. Azcona,"Ur. Azcona, Breña, Lima, Lima ","S/.1,650",2 dormitorios,2 baños,64 m²,2022,S/.140,Apartamento,Alquiler,"Hace 4 días, 16 horas - Publicado por RE/MAX PERÚ",https://www.properati.com.pe/detalle/14032-32-e19a-a056c8562c09-2a7d81bb-a4df-4cfb
Apartamento en alquiler en Ur. Santa Beatriz,"Ur. Santa Beatriz, Jesús María, Lima, Lima ","S/.1,100",2 dormitorios,1 baño,70 m²,,,Apartamento,Alquiler,Hace 6 días - Publicado por Ikasa Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-ddc9-3aa23d259d44-1235170e-8c9e-4ef7
Apartamento en alquiler en Ur. Ingenieria,"Ur. Ingenieria, San Martín de Porres, Lima, Lima ",S/.880,3 dormitorios,2 baños,40 m²,2013,,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por Remax Integrity",https://www.properati.com.pe/detalle/14032-32-2544-cb5dc039adc3-fdf2bdae-a917-4326
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",USD750,2 dormitorios,3 baños,84 m²,,S/.350,Apartamento,Alquiler,"Hace 1 semana, 2 días - Publicado por RE/MAX POWER EXPO",https://www.properati.com.pe/detalle/14032-32-822-3b269f0108ea-feb6d8af-a66e-41c0
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD1,100",1 dormitorio,1 baño,120 m²,2018,,Apartamento,Alquiler,"Hace 6 días, 22 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-94e4-7400017644e-fc22b402-9a0f-45d8
Apartamento en alquiler en Hu. Club Arabe,"Hu. Club Arabe, Santiago de Surco, Lima, Lima ","USD1,600",3 dormitorios,2 baños,150 m²,2012,S/.650,Apartamento,Alquiler,27 dic. 2022 - Publicado por Ccasa Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-185b-e1afbf14c631-f883f770-b93b-4a3a
Apartamento en alquiler en Ur. Chacra Colorada,"Ur. Chacra Colorada, Breña, Lima, Lima ",USD400,2 dormitorios,1 baño,73 m²,2000,S/.40,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por SERVICIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-ca86-5ea0a0efca4a-efa7aa49-b6e5-4c79
Apartamento en alquiler en Ur. Alicia,"Ur. Alicia, Santiago de Surco, Lima, Lima ",USD980,3 dormitorios,3 baños,126 m²,2019,S/.500,Apartamento,Alquiler,"Hace 1 semana, 17 horas - Publicado por Faure Cruz",https://www.properati.com.pe/detalle/14032-32-d90a-afbdc1f2fb6f-ea9ae520-b078-120d
Apartamento en alquiler en Ur. Mariscal Castilla,"Ur. Mariscal Castilla, San Borja, Lima, Lima ","S/.2,000",2 dormitorios,1 baño,60 m²,1988,S/.130,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por Prime House",https://www.properati.com.pe/detalle/14032-32-d462-8d7f7ae36feb-f1cc4a07-a620-4d79
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ",USD600,1 dormitorio,1 baño,50 m²,2023,S/.200,Apartamento,Alquiler,"Hace 1 semana, 2 días - Publicado por INMOBILIARIA INTERNACIONAL DEL PERU",https://www.properati.com.pe/detalle/14032-32-5c1c-8e19b1cba6be-f1049f36-84db-420b
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ","USD1,100",2 dormitorios,3 baños,105 m²,2010,S/.545,Apartamento,Alquiler,Hace 1 semana - Publicado por GRUPO JCTP INMOBILIARIO SAC,https://www.properati.com.pe/detalle/14032-32-65f2-161cab17efa8-d4cbe50d-90a9-426a
Apartamento en alquiler en Co. Virgen De Fatima,"Co. Virgen De Fatima, San Martín de Porres, Lima, Lima ",S/.850,2 dormitorios,1 baño,65 m²,1500,S/.25,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por Kayrós Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-fee9-866febd5e7d4-db0c5195-844f-437e
Apartamento en alquiler en Comas,"Comas, Lima, Lima ",S/.950,3 dormitorios,1 baño,52 m²,2015,S/.115,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por REMAX FAMILY",https://www.properati.com.pe/detalle/14032-32-4c15-8d6c8384a80a-cf83993e-a06a-4bd4
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",USD850,2 dormitorios,2 baños,80 m²,2016,S/.480,Apartamento,Alquiler,"Hace 1 semana, 6 horas - Publicado por Corretaje Pelusa",https://www.properati.com.pe/detalle/14032-32-a008-dc332b3b709d-c1400d1e-919d-4243
Apartamento en alquiler en Ur. Chacarilla Santa Cruz,"Ur. Chacarilla Santa Cruz, San Isidro, Lima, Lima ","USD2,800",3 dormitorios,3 baños,240 m²,2019,"S/.1,900",Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por Büro Propiedades",https://www.properati.com.pe/detalle/14032-32-daf7-a61ccfc9fddd-bbd3af13-a20f-4159
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",USD650,1 dormitorio,1 baño,48 m²,2019,S/.310,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por Verónica Frida Dávila Herrera",https://www.properati.com.pe/detalle/14032-32-f76e-e36691304f2c-b90596e3-a037-4b75
Apartamento en alquiler en Surquillo,"Surquillo, Lima, Lima ","S/.2,200",1 dormitorio,1 baño,43 m²,2018,S/.150,Apartamento,Alquiler,"Hace 1 semana, 23 horas - Publicado por REMAX UNITED",https://www.properati.com.pe/detalle/14032-32-af85-94e239b955bb-b0521e17-880f-4f47
Apartamento en alquiler en Ur. Armendariz,"Ur. Armendariz, Miraflores, Lima, Lima ","USD1,000",3 dormitorios,2 baños,110 m²,2012,S/.300,Apartamento,Alquiler,"Hace 1 semana, 2 días - Publicado por joresco real estate",https://www.properati.com.pe/detalle/14032-32-d7f9-a7c0a273d46a-cd1cdfb0-a715-120d
Apartamento en alquiler en Ur. Libertad,"Ur. Libertad, San Miguel, Lima, Lima ","S/.2,100",3 dormitorios,2 baños,70 m²,2018,S/.250,Apartamento,Alquiler,"Hace 1 semana, 17 horas - Publicado por Century 21 Horizonte",https://www.properati.com.pe/detalle/14032-32-d90c-390c5b71487a-ae022130-9d80-120d
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ","USD2,500",3 dormitorios,2 baños,176 m²,2022,S/.715,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por 2g Agentes Inmobiliarios",https://www.properati.com.pe/detalle/14032-32-5cf-65fda1edc488-9f912a8a-ba44-4612
Apartamento en alquiler en Ur. Valle Hermoso Residencial (San Demetrio De Monterrico),"Ur. Valle Hermoso Residencial (San Demetrio De Monterrico), Santiago de Surco, Lima, Lima ",USD750,3 dormitorios,3 baños,120 m²,2012,S/.360,Apartamento,Alquiler,"Hace 1 semana, 5 horas - Publicado por Marcia Rodriguez",https://www.properati.com.pe/detalle/14032-32-d097-c6516cf96ca7-9d22e808-b555-40e4
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ","USD1,100",2 dormitorios,2 baños,151 m²,2017,S/.510,Apartamento,Alquiler,"Hace 1 semana, 23 horas - Publicado por RE/MAX Realty Group",https://www.properati.com.pe/detalle/14032-32-b98b-4c747748a0bf-9a542b4d-8f3f-481f
Apartamento en alquiler en Ah. 12 De Agosto I Sector,"Ah. 12 De Agosto I Sector, Los Olivos, Lima, Lima ","S/.1,500",4 dormitorios,2 baños,94 m²,2009,,Apartamento,Alquiler,"Hace 1 semana, 2 días - Publicado por REMAX UNITED",https://www.properati.com.pe/detalle/14032-32-d5f8-31c7b742f2b3-8eeacbf0-b2f6-4b82
Apartamento en alquiler en Surco,"Surco, Santiago De Surco, Lima, Lima ","USD1,200",3 dormitorios,4 baños,204 m²,2011,S/.400,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por Agentes Asociados",https://www.properati.com.pe/detalle/14032-32-d83e-253ced5ee55f-9b5f35a0-b174-120d
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ","S/.2,600",2 dormitorios,2 baños,59 m²,2018,S/.180,Apartamento,Alquiler,"Hace 1 semana, 4 horas - Publicado por Remax Visión Miraflores Lima",https://www.properati.com.pe/detalle/14032-32-b131-dcf648d5175e-8a70a8d9-ad23-443a
Apartamento en alquiler en Ur. Valle Hermoso Oeste,"Ur. Valle Hermoso Oeste, Santiago de Surco, Lima, Lima ","USD4,300",5 dormitorios,5 baños,470 m²,2014,"S/.1,500",Apartamento,Alquiler,"Hace 1 semana, 7 horas - Publicado por Büro Propiedades",https://www.properati.com.pe/detalle/14032-32-fa13-113ebd37d42e-86027943-8493-461b
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ","S/.3,900",3 dormitorios,3 baños,135 m²,2010,S/.450,Apartamento,Alquiler,"Hace 1 semana, 16 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-d915-43d9171bb0db-790e97c0-a4cf-120d
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",USD850,3 dormitorios,2 baños,190 m²,,S/.250,Apartamento,Alquiler,22 mar. 2023 - Publicado por Proyectum  Perú,https://www.properati.com.pe/detalle/14032-32-c44b-815467a519b3-785d63be-8457-40ce
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ","S/.2,000",1 dormitorio,1 baño,52 m²,1971,S/.220,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por RE/MAX Lider-Luis Lancho Navas",https://www.properati.com.pe/detalle/14032-32-d876-956870f986d-749b1140-b7c6-120d
Apartamento en alquiler en Ur. La Alborada,"Ur. La Alborada, Santiago de Surco, Lima, Lima ",USD550,1 dormitorio,1 baño,64 m²,1995,S/.80,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por RE/MAX Expo",https://www.properati.com.pe/detalle/14032-32-1a42-bc3283b964fa-74498470-86f6-45d7
Apartamento en alquiler en Ur. Armendariz,"Ur. Armendariz, Miraflores, Lima, Lima ","USD1,500",3 dormitorios,2 baños,133 m²,2009,S/.667,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por CONFIAR Consultores Inmobiliarios Figari & Aramburú ",https://www.properati.com.pe/detalle/14032-32-ed1a-805179b4190b-6706e776-b1af-4c26
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",USD900,2 dormitorios,2 baños,103 m²,2010,,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por GARRIDO SECLEN RICARDY BUENAVENTURA",https://www.properati.com.pe/detalle/14032-32-d823-cfb2289def34-6e71b2e0-9ba2-120d
Apartamento en alquiler en Ur. Santa Beatriz,"Ur. Santa Beatriz, Jesús María, Lima, Lima ","S/.1,800",1 dormitorio,1 baño,50 m²,,,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por RealWasi Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-d829-d127d4d2b90f-6250c860-b026-120d
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ","S/.2,830",1 dormitorio,1 baño,40 m²,2023,,Apartamento,Alquiler,"Hace 1 semana, 2 días - Publicado por RE/MAX PERÚ",https://www.properati.com.pe/detalle/14032-32-d7ba-ef58649d52f-5a66902c-9af4-46fc
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",USD900,2 dormitorios,2 baños,100 m²,2012,S/.690,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-d8c9-2d992ccedc6d-5b23d140-9325-120d
Apartamento en alquiler en Ur. San Miguel,"Ur. San Miguel, San Miguel, Lima, Lima ","S/.1,100",2 dormitorios,1 baño,45 m²,2023,,Apartamento,Alquiler,"Hace 2 semanas, 14 horas - Publicado por Encontré tu Hogar",https://www.properati.com.pe/detalle/14032-32-d3a8-d15c0189ad19-51f02900-856d-120d
Apartamento en alquiler en Ur. El Carmen,"Ur. El Carmen, Pueblo Libre, Lima, Lima ","S/.2,300",3 dormitorios,2 baños,89 m²,2016,S/.100,Apartamento,Alquiler,27 mar. 2023 - Publicado por Ccasa Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-d0c-88dc6292fe03-50f08c4f-9cb0-4f6e
Apartamento en alquiler en Ur. El Derby,"Ur. El Derby, Santiago de Surco, Lima, Lima ",USD750,2 dormitorios,2 baños,70 m²,2023,S/.250,Apartamento,Alquiler,"Hace 1 semana, 2 horas - Publicado por Corretajes Inmobiliarios Matessa SAC",https://www.properati.com.pe/detalle/14032-32-2732-1baec3acc30a-4a16d6cb-a582-4075
Apartamento en alquiler en Ur. Prolongacion Benavides,"Ur. Prolongacion Benavides, Santiago de Surco, Lima, Lima ","S/.1,400",1 dormitorio,1 baño,60 m²,2000,S/.50,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por Danitza Zapata Tomassini",https://www.properati.com.pe/detalle/14032-32-fd22-647bbc82daad-449a5824-bef7-45a5
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ","USD1,150",2 dormitorios,2 baños,130 m²,,S/.750,Apartamento,Alquiler,"Hace 1 semana, 4 horas - Publicado por Fiorella Saldarriaga",https://www.properati.com.pe/detalle/14032-32-e8aa-767e44a2b490-46e93fcf-8ac2-40a5
Apartamento en alquiler en Re. San Felipe,"Re. San Felipe, San Isidro, Lima, Lima ",USD950,2 dormitorios,2 baños,90 m²,2013,S/.320,Apartamento,Alquiler,"Hace 1 semana, 4 horas - Publicado por Inmobiliaria Casella",https://www.properati.com.pe/detalle/14032-32-5294-4204e72bc0f5-2e87f4df-978d-4bc7
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD3,500",3 dormitorios,3 baños,345 m²,2022,"S/.1,750",Apartamento,Alquiler,"Hace 1 semana, 19 horas - Publicado por 2g Agentes Inmobiliarios",https://www.properati.com.pe/detalle/14032-32-2627-20e9295a4be1-391497db-9083-474e
Apartamento en alquiler en Ur. El Derby,"Ur. El Derby, Santiago de Surco, Lima, Lima ",USD750,2 dormitorios,2 baños,70 m²,2023,S/.250,Apartamento,Alquiler,"Hace 6 días, 23 horas - Publicado por Corretajes Inmobiliarios Matessa SAC",https://www.properati.com.pe/detalle/14032-32-b0df-4e5bf22aefba-328c3f30-a1bc-4482
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ","USD2,100",3 dormitorios,4 baños,246 m²,,"S/.1,550",Apartamento,Alquiler,16 feb. 2023 - Publicado por Rafael Reyes Martel,https://www.properati.com.pe/detalle/14032-32-9f24-26f469ea761b-25a290cf-ad7e-4a0d
